experiment;temperature;pressure [Pa];uptake [mol/g]
10.1002adfm.200500561.Isotherm5;31;30545.5;0.002386
10.1002adfm.200500561.Isotherm6;31;33039;0.002439
10.1002adfm.200500561.Isotherm6;31;35220.8;0.002456
10.1002adfm.200500561.Isotherm6;31;37402.6;0.002491
10.1002adfm.200500561.Isotherm6;31;40519.5;0.002526
10.1002adfm.200500561.Isotherm6;31;46129.9;0.002596
10.1002adfm.200500561.Isotherm6;31;50805.2;0.002649
10.1002adfm.200500561.Isotherm6;31;52987;0.002684
10.1002adfm.200500561.Isotherm6;31;55168.8;0.002719
10.1002adfm.200500561.Isotherm6;31;60779.2;0.002789
10.1002adfm.200500561.Isotherm6;31;70129.9;0.002912
10.1002adfm.200500561.Isotherm6;31;81039;0.003053
10.1002adfm.200500561.Isotherm6;31;90077.9;0.003193
10.1002adfm.200500561.Isotherm6;31;97246.8;0.003298
10.1002adfm.200500561.Isotherm7;31;109403;0.003456
10.1002adfm.200500561.Isotherm7;23;3.00E-01;0.000375
10.1002adfm.200500561.Isotherm7;23;6.00E-01;0.000484
10.1002adfm.200500561.Isotherm7;23;9.00E-01;0.000609
10.1002adfm.200500561.Isotherm7;23;1.30E+00;0.000719
10.1002adfm.200500561.Isotherm7;23;1.80E+00;0.000828
10.1002adfm.200500561.Isotherm7;23;2.60E+00;0.000937
10.1002adfm.200500561.Isotherm7;23;3.40E+00;0.001047
10.1002adfm.200500561.Isotherm8;23;4.40E+00;0.001141
10.1002adfm.200500561.Isotherm8;23;5.70E+00;0.001266
10.1002adfm.200500561.Isotherm8;23;7.40E+00;0.001359
10.1002adfm.200500561.Isotherm8;23;9.80E+00;0.001469
10.1002adfm.200500561.Isotherm8;23;12.5;0.001578
10.1002adfm.200500561.Isotherm8;23;16.9;0.001672
10.1002adfm.200500561.Isotherm8;23;23.4;0.001797
10.1002adfm.200500561.Isotherm8;23;33.6;0.001891
10.1002adfm.200500830.Isotherm1;23;50.4;0.002
10.1002adfm.200500830.Isotherm1;23;75.4;0.002109
10.1002adfm.200500830.Isotherm1;23;115.3;0.002188
10.1002adfm.200500830.Isotherm1;23;169.2;0.002281
10.1002adfm.200500830.Isotherm1;23;243.5;0.002375
10.1002adfm.200500830.Isotherm1;23;336.4;0.002469
10.1002adfm.200500830.Isotherm1;23;446.3;0.002516
10.1002adfm.200500830.Isotherm1;23;580.4;0.002609
10.1002adfm.200500830.Isotherm1;23;710.3;0.002672
10.1002adfm.200500830.Isotherm1;23;851.9;0.002766
10.1002adfm.200500830.Isotherm1;23;961.7;0.002828
10.1002adfm.200500830.Isotherm1;23;1085.6;0.002891
10.1002adfm.200500830.Isotherm1;23;1250.5;0.002953
10.1002adfm.200500830.Isotherm1;23;1328.7;0.003016
10.1002adfm.200500830.Isotherm1;23;1469.9;0.003094
10.1002adfm.200500830.Isotherm1;23;1659.3;0.003156
10.1002adfm.200500830.Isotherm1;23;1763;0.003219
10.1002adfm.200500830.Isotherm1;23;1911.3;0.003312
10.1002adfm.200500830.Isotherm1;23;2030.7;0.003344
10.1002adfm.200500830.Isotherm1;23;2201.7;0.003453
10.1002adfm.200500830.Isotherm1;23;2435.7;0.003547
10.1002adfm.200500830.Isotherm1;23;2694.6;0.003656
10.1002adfm.200500830.Isotherm1;23;2805.6;0.00375
10.1002adfm.200500830.Isotherm1;23;2981;0.003875
10.1002adfm.200500830.Isotherm1-1;23;3231.8;0.003969
10.1002adfm.200500830.Isotherm1-1;23;3433.8;0.004094
10.1002adfm.200500830.Isotherm1-1;23;3955.4;0.004266
10.1002adfm.200500830.Isotherm1-1;23;4202.5;0.004375
10.1002adfm.200500830.Isotherm1-1;23;4288.3;0.004453
10.1002adfm.200500830.Isotherm1-1;23;4556.2;0.004562
10.1002adfm.200500830.Isotherm1-1;23;4840.9;0.004672
10.1002adfm.200500830.Isotherm1-1;23;4939.7;0.004781
10.1002adfm.200500830.Isotherm1-1;23;5248.3;0.004875
10.1002adfm.200500830.Isotherm1-1;23;5464.7;0.004953
10.1002adfm.200500830.Isotherm1-1;23;5924.6;0.005141
10.1002adfm.200500830.Isotherm1-1;23;6168.9;0.005297
10.1002adfm.200500830.Isotherm1-1;23;6688.1;0.005437
10.1002adfm.200500830.Isotherm1-1;23;6963.8;0.005641
10.1002adfm.200500830.Isotherm1-1;23;7251;0.005781
10.1002adfm.200500830.Isotherm1-1;23;7704;0.005922
10.1002adfm.200500830.Isotherm1-1;23;8185.3;0.006094
10.1002adfm.200500830.Isotherm1-1;23;8352.4;0.00625
10.1002adfm.200500830.Isotherm2;23;8874.3;0.006406
10.1002adfm.200500830.Isotherm2;23;9240.1;0.006578
10.1002adfm.200500830.Isotherm2;23;9817.5;0.006703
10.1002adfm.200500830.Isotherm2;23;10017.8;0.006906
10.1002adfm.200500830.Isotherm2;24;3.00E-01;0.000188
10.1002adfm.200500830.Isotherm2;24;5.00E-01;0.000234
10.1002adfm.200500830.Isotherm2;24;8.00E-01;0.000297
10.1002adfm.200500830.Isotherm2;24;1.20E+00;0.000359
10.1002adfm.200500830.Isotherm2;24;2.00E+00;0.000406
10.1002adfm.200500830.Isotherm2;24;2.50E+00;0.000453
10.1002adfm.200500830.Isotherm2;24;3.10E+00;0.0005
10.1002adfm.200500830.Isotherm2;24;3.60E+00;0.000562
10.1002adfm.200500830.Isotherm2;24;4.40E+00;0.000641
10.1002adfm.200500830.Isotherm2;24;5.00E+00;0.000672
10.1002adfm.200500830.Isotherm2;24;5.90E+00;0.000734
10.1002adfm.200500830.Isotherm2;24;7.00E+00;0.000781
10.1002adfm.200500830.Isotherm2;24;8.00E+00;0.000844
10.1002adfm.200500830.Isotherm2;24;9.40E+00;0.000891
10.1002adfm.200500830.Isotherm2;24;10.6;0.000953
10.1002adfm.200500830.Isotherm2;24;12;0.001016
10.1002adfm.200600944.Isotherm1;24;14.1;0.001063
10.1002adfm.200600944.Isotherm1;24;16.2;0.001125
10.1002adfm.200600944.Isotherm1;24;18.3;0.001172
10.1002adfm.200600944.Isotherm1;24;20.7;0.001234
10.1002adfm.200600944.Isotherm1;24;23.8;0.001297
10.1002adfm.200600944.Isotherm1;24;27.5;0.001344
10.1002adfm.200600944.Isotherm1;24;32.3;0.001406
10.1002adfm.200600944.Isotherm1;24;36.5;0.001469
10.1002adfm.200600944.Isotherm1;24;42.8;0.001531
10.1002adfm.200600944.Isotherm1;24;50.4;0.001578
10.1002adfm.200600944.Isotherm1;24;60.4;0.001641
10.1002adfm.200600944.Isotherm1;24;71;0.001703
10.1002adfm.200600944.Isotherm1;24;85.2;0.00175
10.1002adfm.200600944.Isotherm1;24;125;0.001844
10.1002adfm.200600944.Isotherm1;24;183.5;0.001937
10.1002adfm.200600944.Isotherm1;24;264;0.002047
10.1002adfm.200600944.Isotherm1;24;372.1;0.002125
10.1002adfm.200600944.Isotherm1;24;503.8;0.002203
10.1002adfm.200600944.Isotherm1;24;655.1;0.002281
10.1002adfm.200600944.Isotherm1;24;818.2;0.002344
10.1002adfm.200600944.Isotherm1;24;1042.6;0.002391
10.1002adfm.200600944.Isotherm1;24;1250.5;0.002453
10.1002adfm.200600944.Isotherm1;24;1328.7;0.002484
10.1002adfm.200600944.Isotherm1;24;1561.7;0.002531
10.1002adfm.200600944.Isotherm1;24;1763;0.002578
10.1002adfm.200600944.Isotherm1;24;1990.1;0.002641
10.1002adfm.200600944.Isotherm1;24;2246.6;0.002687
10.1002adfm.200600944.Isotherm1;24;2339.2;0.002719
10.1002adfm.200600944.Isotherm1;24;2640.7;0.002781
10.1002adfm.200600944.Isotherm1;24;2921.3;0.002812
10.1002adfm.200600944.Isotherm1;24;3041.8;0.002859
10.1002adfm.200600944.Isotherm1;24;3231.8;0.002922
10.1002adfm.200600944.Isotherm1;24;3433.8;0.002953
10.1002adfm.200600944.Isotherm10;24;3798.7;0.002984
10.1002adfm.200600944.Isotherm10;24;3955.4;0.003078
10.1002adfm.200600944.Isotherm10;24;4118.4;0.003125
10.1002adfm.200600944.Isotherm10;24;4465.1;0.003187
10.1002adfm.200600944.Isotherm10;24;4744.1;0.003219
10.1002adfm.200600944.Isotherm10;24;5040.4;0.003312
10.1002adfm.200600944.Isotherm10;24;5464.7;0.003359
10.1002adfm.200600944.Isotherm10;24;5576.2;0.003391
10.1002adfm.200600944.Isotherm10;24;5806.1;0.003453
10.1002adfm.200600944.Isotherm10;24;6045.5;0.003531
10.1002adfm.200600944.Isotherm10;24;6294.7;0.003594
10.1002adfm.200600944.Isotherm10;24;6824.5;0.003687
10.1002adfm.200600944.Isotherm10;24;7251;0.003781
10.1002adfm.200600944.Isotherm10;24;7861.2;0.003891
10.1002adfm.200600944.Isotherm10;24;8021.7;0.003953
10.1002adfm.200600944.Isotherm10;24;8522.9;0.004
10.1002adfm.200600944.Isotherm10;24;8874.3;0.004094
10.1002adfm.200600944.Isotherm10;24;9428.8;0.004234
10.1002adfm.200600944.Isotherm10;24;9817.5;0.004328
10.1002adfm.200600944.Isotherm10;24;10430.9;0.004437
10.1002adfm.200600944.Isotherm10;24;10643.8;0.0045
10.1002adfm.200600944.Isotherm10;24;11082.6;0.004562
10.1002adfm.200600944.Isotherm10;24;11539.6;0.004641
10.1002adfm.200600944.Isotherm10;24;12015.3;0.004719
10.1002adfm.200600944.Isotherm10;24;12260.5;0.004781
10.1002adfm.200600944.Isotherm10;24;12510.7;0.004875
10.1002adfm.200600944.Isotherm10;24;13026.6;0.004938
10.1002adfm.200600944.Isotherm10;24;13292.4;0.005
10.1002adfm.200600944.Isotherm10;24;13840.4;0.005063
10.1002adfm.200600944.Isotherm10;24;14123;0.005094
10.1002adfm.200600944.Isotherm10;24;14411.2;0.005156
10.1002adfm.200600944.Isotherm10;24;14705.3;0.00525
10.1002adfm.200600944.Isotherm10;24;15311.5;0.005328
10.1002adfm.200600944.Isotherm10;24;15624.1;0.005484
10.1002adfm.200600944.Isotherm10;24;16268.2;0.005578
10.1002adfm.200600944.Isotherm10;24;16600.2;0.005781
10.1002adfm.200600944.Isotherm10;24;16938.9;0.005687
10.1002adfm.200600944.Isotherm11;24;17997.4;0.005922
10.1002adfm.200600944.Isotherm11;24;18739.3;0.006
10.1002adfm.200600944.Isotherm11;27;1.80E+00;0.000203
10.1002adfm.200600944.Isotherm11;27;4.00E+00;0.000297
10.1002adfm.200600944.Isotherm11;27;6.40E+00;0.000391
10.1002adfm.200600944.Isotherm11;27;9.40E+00;0.0005
10.1002adfm.200600944.Isotherm11;27;12.5;0.000578
10.1002adfm.200600944.Isotherm11;27;16.6;0.000672
10.1002adfm.200600944.Isotherm11;27;21.1;0.000766
10.1002adfm.200600944.Isotherm11;27;25.3;0.000875
10.1002adfm.200600944.Isotherm11;27;31.6;0.000953
10.1002adfm.200600944.Isotherm11;27;40.3;0.001047
10.1002adfm.200600944.Isotherm11;27;50.4;0.001141
10.1002adfm.200600944.Isotherm11;27;62.9;0.001219
10.1002adfm.200600944.Isotherm11;27;78.5;0.001313
10.1002adfm.200600944.Isotherm11;27;117.6;0.0015
10.1002adfm.200600944.Isotherm11;27;153;0.001578
10.1002adfm.200600944.Isotherm11;27;248.4;0.001734
10.1002adfm.200600944.Isotherm11;27;395.4;0.001891
10.1002adfm.200600944.Isotherm11;27;616.6;0.002
10.1002adfm.200600944.Isotherm11;27;887;0.002109
10.1002adfm.200600944.Isotherm11;27;1225.5;0.002172
10.1002adfm.200600944.Isotherm11;27;1530.5;0.002266
10.1002adfm.200600944.Isotherm11;27;1911.3;0.002328
10.1002adfm.200600944.Isotherm11;27;2292.4;0.002391
10.1002adfm.200600944.Isotherm11;27;2640.7;0.002422
10.1002adfm.200600944.Isotherm11;27;3167.2;0.002484
10.1002adfm.200600944.Isotherm12;27;3575.4;0.002547
10.1002adfm.200600944.Isotherm12;27;4036.1;0.002578
10.1002adfm.200600944.Isotherm12;27;4465.1;0.002641
10.1002adfm.200600944.Isotherm12;27;4840.9;0.002672
10.1002adfm.200600944.Isotherm12;27;5248.3;0.002703
10.1002adfm.200600944.Isotherm12;27;5806.1;0.00275
10.1002adfm.200600944.Isotherm12;27;6168.9;0.002797
10.1002adfm.200600944.Isotherm12;27;6688.1;0.002828
10.1002adfm.200600944.Isotherm12;27;6963.8;0.002891
10.1002adfm.200600944.Isotherm12;27;7549.9;0.002953
10.1002adfm.200600944.Isotherm12;27;8021.7;0.002969
10.1002adfm.200600944.Isotherm12;27;8352.4;0.003
10.1002adfm.200600944.Isotherm12;27;8696.8;0.003031
10.1002adfm.200600944.Isotherm12;27;9055.3;0.003063
10.1002adfm.200600944.Isotherm12;27;10017.8;0.003141
10.1002adfm.200600944.Isotherm12;27;10222.2;0.003172
10.1002adfm.200600944.Isotherm12;27;10643.8;0.003203
10.1002adfm.200600944.Isotherm12;27;11082.6;0.00325
10.1002adfm.200600944.Isotherm12;27;11775.1;0.003297
10.1002adfm.200600944.Isotherm12;27;12766.1;0.003391
10.1002adfm.200600944.Isotherm12;27;13563.7;0.003453
10.1002adfm.200600944.Isotherm12;27;14411.2;0.003531
10.1002adfm.200600944.Isotherm12;27;15005.3;0.003625
10.1002adfm.200600944.Isotherm12;27;16268.2;0.003734
10.1002adfm.200600944.Isotherm13;27;17637.5;0.003859
10.1002adfm.200600944.Isotherm13;27;18739.3;0.003969
10.1002adfm.200600944.Isotherm13;27;20316.5;0.004063
10.1002adfm.200600944.Isotherm13;27;21586;0.004156
10.1002adfm.200600944.Isotherm13;27;22475.9;0.004281
10.1002adfm.200600944.Isotherm13;27;23880.1;0.004391
10.1002adfm.200600944.Isotherm13;27;25372;0.004484
10.1002adfm.200600944.Isotherm13;27;26418;0.004609
10.1002adfm.200600944.Isotherm13;27;27507.1;0.004703
10.1002adfm.200600944.Isotherm13;27;28641.2;0.004797
10.1002adfm.200600944.Isotherm14;27;30430.5;0.004922
10.1002adfm.200600944.Isotherm14;27;31051.4;0.005016
10.1002adfm.200600944.Isotherm14;27;32991.3;0.005141
10.1002adfm.200600944.Isotherm14;27;34351.5;0.005297
10.1002adfm.200600944.Isotherm14;27;35767.7;0.005422
10.1002adfm.200600944.Isotherm14;27;37246;0.005531
10.1002adfm.200600944.Isotherm14;27;38006;0.005625
10.1002adfm.200600944.Isotherm14;27;39572.9;0.005734
10.1002adfm.200600944.Isotherm14;27;41204.4;0.005859
10.1002adfm.200600944.Isotherm14;27;42045.2;0.005984
10.1002adfm.200600944.Isotherm15;27;42903.1;0.006109
10.1002adfm.200600944.Isotherm15;27;43778.6;0.006234
10.1002adfm.200600944.Isotherm15;27;45583.5;0.006375
10.1002adfm.200600944.Isotherm15;27;46513.6;0.006484
10.1002adfm.200600944.Isotherm15;27;48431.2;0.006656
10.1002adfm.200600944.Isotherm15;27;49419.5;0.006766
10.1002adfm.200600944.Isotherm15;27;50427.9;0.006891
10.1002adfm.200600944.Isotherm15;28;1.20E+00;0.000109
10.1002adfm.200600944.Isotherm15;28;4.90E+00;0.000234
10.1002adfm.200600944.Isotherm15;28;9.80E+00;0.000344
10.1002adfm.200600944.Isotherm16;28;16.2;0.000469
10.1002adfm.200600944.Isotherm16;28;22.9;0.000578
10.1002adfm.200600944.Isotherm16;28;32.3;0.000687
10.1002adfm.200600944.Isotherm16;28;43.7;0.000797
10.1002adfm.200600944.Isotherm16;28;59.2;0.000906
10.1002adfm.200600944.Isotherm16;28;78.5;0.001031
10.1002adfm.200600944.Isotherm16;28;104.2;0.001141
10.1002adfm.200600944.Isotherm16;28;141.1;0.00125
10.1002adfm.200600944.Isotherm16;28;187.2;0.001375
10.1002adfm.200600944.Isotherm16;28;248.4;0.001484
10.1002adfm.200600944.Isotherm17;28;323;0.001609
10.1002adfm.200600944.Isotherm17;28;428.6;0.001672
10.1002adfm.200600944.Isotherm17;28;557.4;0.001766
10.1002adfm.200600944.Isotherm17;28;710.3;0.001844
10.1002adfm.200600944.Isotherm17;28;905.1;0.001922
10.1002adfm.200600944.Isotherm17;28;1130.4;0.001969
10.1002adfm.200600944.Isotherm17;28;1328.7;0.002031
10.1002adfm.200600944.Isotherm17;28;1561.7;0.002078
10.1002adfm.200600944.Isotherm17;28;1911.3;0.002141
10.1002adfm.200600944.Isotherm17;28;2339.2;0.002188
10.1002adfm.200600944.Isotherm18;28;2921.3;0.00225
10.1002adfm.200600944.Isotherm18;28;3503.9;0.002312
10.1002adfm.200600944.Isotherm18;28;4118.4;0.002359
10.1002adfm.200600944.Isotherm18;28;4939.7;0.002422
10.1002adfm.200600944.Isotherm18;28;5464.7;0.002469
10.1002adfm.200600944.Isotherm18;28;6168.9;0.002516
10.1002adfm.200600944.Isotherm18;28;6688.1;0.002547
10.1002adfm.200600944.Isotherm18;28;7549.9;0.002609
10.1002adfm.200600944.Isotherm18;28;8185.3;0.002641
10.1002adfm.200600944.Isotherm18;28;8696.8;0.002687
10.1002adfm.200600944.Isotherm18;28;9240.1;0.002719
10.1002adfm.200600944.Isotherm18;28;10643.8;0.002797
10.1002adfm.200600944.Isotherm18;28;12015.3;0.002875
10.1002adfm.200600944.Isotherm18;28;13292.4;0.002969
10.1002adfm.200600944.Isotherm18;28;14411.2;0.003047
